Date : 2026-09-14 04:22:52
Directory : c:\Users\zsolt\source\Salztal_Service_Wochenplan\src
Total : 179 files,  10036 codes, 11 comments, 1599 blanks, all 11646 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeDeleteStoreResult.cs                                                           | C#       |          7 |          0 |          2 |          9 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeDetailsSnapshot.cs                                                             | C#       |          8 |          0 |          2 |         10 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeOverviewItemSnapshot.cs                                                        | C#       |         12 |          0 |          2 |         14 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeOverviewSnapshot.cs                                                            | C#       |         10 |          0 |          4 |         14 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeReadData.cs                                                                    | C#       |         22 |          0 |          7 |         29 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeSnapshotProjector.cs                                                           | C#       |        138 |          0 |         18 |        156 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeTypeCatalogSnapshot.cs                                                         | C#       |         10 |          0 |          4 |         14 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeTypeEligibilitySnapshot.cs                                                     | C#       |          6 |          0 |          2 |          8 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeTypeReferenceValidation.cs                                                     | C#       |         54 |          0 |          7 |         61 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeTypeSnapshot.cs                                                                | C#       |         26 |          0 |          9 |         35 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\EmployeeWriteStoreResult.cs                                                            | C#       |          7 |          0 |          2 |          9 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\GetEmployeeDetailsQuery.cs                                                             | C#       |         27 |          0 |          8 |         35 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\GetEmployeeOverviewQuery.cs                                                            | C#       |         19 |          0 |          5 |         24 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\GetEmployeeTypeCatalogQuery.cs                                                         | C#       |         19 |          0 |          5 |         24 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\IChangeEmployeeTypeStore.cs                                                            | C#       |         10 |          0 |          3 |         13 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\ICreateEmployeeStore.cs                                                                | C#       |          9 |          0 |          3 |         12 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\IDeactivateEmployeeStore.cs                                                            | C#       |          9 |          0 |          3 |         12 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\IDeleteEmployeeStore.cs                                                                | C#       |          8 |          0 |          3 |         11 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\IEmployeeReader.cs                                                                     | C#       |          5 |          0 |          2 |          7 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\IReactivateEmployeeStore.cs                                                            | C#       |         10 |          0 |          3 |         13 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\IUpdateEmployeeNameStore.cs                                                            | C#       |          9 |          0 |          3 |         12 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\ReactivateEmployeeCommand.cs                                                           | C#       |         59 |          0 |         12 |         71 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\ReactivateEmployeeRequest.cs                                                           | C#       |          2 |          0 |          2 |          4 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\UpdateEmployeeNameCommand.cs                                                           | C#       |         63 |          0 |         12 |         75 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\UpdateEmployeeNameRequest.cs                                                           | C#       |          5 |          0 |          2 |          7 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Salztal.Dienstplanung.Application.csproj                                                         | XML      |          5 |          0 |          1 |          6 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\CatalogEntryUpdateStoreResult.cs                                                  | C#       |          6 |          0 |          2 |          8 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\GetServiceCatalogQuery.cs                                                         | C#       |         70 |          0 |         10 |         80 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\IServiceCatalogReader.cs                                                          | C#       |          5 |          0 |          2 |          7 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\IShiftTypeStandardTimeUpdateStore.cs                                              | C#       |         12 |          0 |          4 |         16 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\IWorkLocationUpdateStore.cs                                                       | C#       |         12 |          0 |          4 |         16 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\ReliefShiftPatternSnapshot.cs                                                     | C#       |         12 |          0 |          2 |         14 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\ServiceCatalogData.cs                                                             | C#       |         27 |          0 |          8 |         35 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\ServiceCatalogSnapshot.cs                                                         | C#       |         20 |          0 |          7 |         27 |
| c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\ShiftTypeSnapshot.cs                                                              | C#       |         10 |          0 |          2 |         12 |
