"filename", "language", "JSON", "XML", "C#", "XAML", "comment", "blank", "total"
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\UpdateEmployeeNameCommand.cs", "C#", 0, 0, 63, 0, 0, 12, 75
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Employees\UpdateEmployeeNameRequest.cs", "C#", 0, 0, 5, 0, 0, 2, 7
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\Salztal.Dienstplanung.Application.csproj", "XML", 0, 5, 0, 0, 0, 1, 6
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\CatalogEntryUpdateStoreResult.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\GetServiceCatalogQuery.cs", "C#", 0, 0, 70, 0, 0, 10, 80
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\IServiceCatalogReader.cs", "C#", 0, 0, 5, 0, 0, 2, 7
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\IShiftTypeStandardTimeUpdateStore.cs", "C#", 0, 0, 12, 0, 0, 4, 16
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\IWorkLocationUpdateStore.cs", "C#", 0, 0, 12, 0, 0, 4, 16
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\ReliefShiftPatternSnapshot.cs", "C#", 0, 0, 12, 0, 0, 2, 14
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\ServiceCatalogData.cs", "C#", 0, 0, 27, 0, 0, 8, 35
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\ServiceCatalogSnapshot.cs", "C#", 0, 0, 20, 0, 0, 7, 27
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\ShiftTypeSnapshot.cs", "C#", 0, 0, 10, 0, 0, 2, 12
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\ShiftTypeStandardTimeUpdateData.cs", "C#", 0, 0, 25, 0, 0, 8, 33
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\SplitShiftPatternSnapshot.cs", "C#", 0, 0, 9, 0, 0, 2, 11
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\UpdateShiftTypeStandardTimeCommand.cs", "C#", 0, 0, 153, 0, 0, 19, 172
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\UpdateShiftTypeStandardTimeRequest.cs", "C#", 0, 0, 5, 0, 0, 2, 7
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\UpdateShiftTypeStandardTimeResult.cs", "C#", 0, 0, 57, 0, 0, 11, 68
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\UpdateWorkLocationCommand.cs", "C#", 0, 0, 75, 0, 0, 11, 86
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\UpdateWorkLocationRequest.cs", "C#", 0, 0, 5, 0, 0, 2, 7
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\UpdateWorkLocationResult.cs", "C#", 0, 0, 51, 0, 0, 11, 62
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\ServiceCatalog\WorkLocationSnapshot.cs", "C#", 0, 0, 5, 0, 0, 2, 7
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Application\packages.lock.json", "JSON", 10, 0, 0, 0, 0, 0, 10
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\App.xaml", "XAML", 0, 0, 0, 6, 0, 1, 7
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\App.xaml.cs", "C#", 0, 0, 36, 0, 0, 4, 40
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\AssemblyInfo.cs", "C#", 0, 0, 6, 0, 0, 3, 9
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Composition\CompositionMarker.cs", "C#", 0, 0, 4, 0, 0, 2, 6
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Composition\MainWindowComposition.cs", "C#", 0, 0, 76, 0, 0, 7, 83
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Composition\MainWindowDependencies.cs", "C#", 0, 0, 14, 0, 0, 3, 17
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\Employees\EmployeeEditorMode.cs", "C#", 0, 0, 8, 0, 0, 2, 10
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\Employees\EmployeeEligibilityItemViewModel.cs", "C#", 0, 0, 7, 0, 0, 2, 9
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\Employees\EmployeeOverviewItemViewModel.cs", "C#", 0, 0, 68, 0, 0, 17, 85
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\Employees\EmployeeOverviewView.xaml", "XAML", 0, 0, 0, 500, 0, 30, 530
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\Employees\EmployeeOverviewView.xaml.cs", "C#", 0, 0, 9, 0, 0, 3, 12
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\Employees\EmployeeOverviewViewModel.cs", "C#", 0, 0, 703, 0, 0, 99, 802
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\Employees\EmployeeTypeOptionViewModel.cs", "C#", 0, 0, 27, 0, 0, 10, 37
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\ServiceCatalog\ReliefShiftPatternViewModel.cs", "C#", 0, 0, 15, 0, 0, 2, 17
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\ServiceCatalog\ServiceCatalogViewModel.cs", "C#", 0, 0, 236, 0, 0, 34, 270
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\ServiceCatalog\ShiftTypeEditorViewModel.cs", "C#", 0, 0, 212, 0, 0, 35, 247
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\ServiceCatalog\ShiftTypeTimeOption.cs", "C#", 0, 0, 6, 0, 0, 3, 9
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\ServiceCatalog\SplitShiftPatternViewModel.cs", "C#", 0, 0, 8, 0, 0, 2, 10
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\ServiceCatalog\WorkLocationColorOption.cs", "C#", 0, 0, 2, 0, 0, 2, 4
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Features\ServiceCatalog\WorkLocationEditorViewModel.cs", "C#", 0, 0, 197, 0, 0, 29, 226
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\MainWindow.xaml", "XAML", 0, 0, 0, 492, 0, 29, 521
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\MainWindow.xaml.cs", "C#", 0, 0, 27, 0, 0, 6, 33
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\MainWindowViewModel.cs", "C#", 0, 0, 17, 0, 0, 6, 23
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Salztal.Dienstplanung.Desktop.csproj", "XML", 0, 16, 0, 0, 0, 1, 17
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Shared\IUnexpectedErrorReporter.cs", "C#", 0, 0, 5, 0, 0, 2, 7
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\Shared\TraceUnexpectedErrorReporter.cs", "C#", 0, 0, 14, 0, 0, 4, 18
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Desktop\packages.lock.json", "JSON", 262, 0, 0, 0, 0, 0, 262
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\AssemblyMarker.cs", "C#", 0, 0, 4, 0, 0, 2, 6
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\Employee.cs", "C#", 0, 0, 103, 0, 0, 21, 124
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeFirstName.cs", "C#", 0, 0, 26, 0, 0, 7, 33
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeId.cs", "C#", 0, 0, 26, 0, 0, 7, 33
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeLastName.cs", "C#", 0, 0, 26, 0, 0, 7, 33
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeType.cs", "C#", 0, 0, 132, 0, 0, 24, 156
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeCode.cs", "C#", 0, 0, 26, 0, 0, 7, 33
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeId.cs", "C#", 0, 0, 26, 0, 0, 7, 33
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeName.cs", "C#", 0, 0, 26, 0, 0, 7, 33
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypePlanningPolicy.cs", "C#", 0, 0, 29, 0, 0, 8, 37
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeShiftEligibility.cs", "C#", 0, 0, 100, 0, 0, 21, 121
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeShiftEligibilityValidationCode.cs", "C#", 0, 0, 9, 0, 0, 2, 11
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeShiftEligibilityValidationError.cs", "C#", 0, 0, 3, 0, 0, 2, 5
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeShiftEligibilityValidationResult.cs", "C#", 0, 0, 29, 0, 0, 8, 37
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeValidationCode.cs", "C#", 0, 0, 12, 0, 0, 2, 14
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeValidationError.cs", "C#", 0, 0, 2, 0, 0, 2, 4
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeTypeValidationResult.cs", "C#", 0, 0, 28, 0, 0, 8, 36
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeValidationCode.cs", "C#", 0, 0, 8, 0, 0, 2, 10
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeValidationError.cs", "C#", 0, 0, 2, 0, 0, 2, 4
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\EmployeeValidationResult.cs", "C#", 0, 0, 28, 0, 0, 8, 36
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\InitialEmployeeTypeCatalog.cs", "C#", 0, 0, 168, 0, 0, 20, 188
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\ManualSuggestionPriority.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\zsolt\source\Salztal_Service_Wochenplan\src\Salztal.Dienstplanung.Domain\Employees\ShiftEligibilityActivation.cs", "C#", 0, 0, 6, 0, 0, 2, 8
